NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
1,1,11,Bulbasaur,Grass,Poison,1,0,0,0.7,6.9,45,49,49,65,65,45,318
2,1,21,Ivysaur,Grass,Poison,1,0,0,1.0,13,60,62,63,80,80,60,405
3,1,31,Venusaur,Grass,Poison,1,0,0,2.0,100,80,82,83,100,100,80,525
3,2,32,Mega Venusaur,Grass,Poison,1,0,1,2.4,155.5,80,100,123,122,120,80,625
4,1,41,Charmander,Fire,,1,0,0,0.6,8.5,39,52,43,60,50,65,309
5,1,51,Charmeleon,Fire,,1,0,0,1.1,19,58,64,58,80,65,80,405
6,1,61,Charizard,Fire,Flying,1,0,0,1.7,90.5,78,84,78,109,85,100,534
6,2,62,Mega Charizard X,Fire,Dragon,1,0,1,1.7,110.5,78,130,111,130,85,100,634
6,3,63,Mega Charizard Y,Fire,Flying,1,0,1,1.7,90.5,78,104,78,159,115,100,634
7,1,71,Squirtle,Water,,1,0,0,0.5,9,44,48,65,50,64,43,314
8,1,81,Wartortle,Water,,1,0,0,1.0,22.5,59,63,80,65,80,58,405
9,1,91,Blastoise,Water,,1,0,0,1.6,85.5,79,83,100,85,105,78,530
9,2,92,Mega Blastoise,Water,,1,0,1,1.6,101.1,79,103,120,135,115,78,630
10,1,101,Caterpie,Bug,,1,0,0,0.3,2.9,45,30,35,20,20,45,195
11,1,111,Metapod,Bug,,1,0,0,0.7,9.9,50,20,55,25,25,30,205
12,1,121,Butterfree,Bug,Flying,1,0,0,1.1,32,60,45,50,90,80,70,395
13,1,131,Weedle,Bug,Poison,1,0,0,0.3,3.2,40,35,30,20,20,50,195
14,1,141,Kakuna,Bug,Poison,1,0,0,0.6,10,45,25,50,25,25,35,205
15,1,151,Beedrill,Bug,Poison,1,0,0,1.0,29.5,65,90,40,45,80,75,395
15,2,152,Mega Beedrill,Bug,Poison,1,0,1,1.4,40.5,65,150,40,15,80,145,495
16,1,161,Pidgey,Normal,Flying,1,0,0,0.3,1.8,40,45,40,35,35,56,251
17,1,171,Pidgeotto,Normal,Flying,1,0,0,1.1,30,63,60,55,50,50,71,349
18,1,181,Pidgeot,Normal,Flying,1,0,0,1.5,39.5,83,80,75,70,70,101,479
18,2,182,Mega Pidgeot,Normal,Flying,1,0,1,2.2,50.5,83,80,80,135,80,121,579
19,1,191,Rattata,Normal,,1,0,0,0.3,3.5,30,56,35,25,35,72,253
19,2,192,Rattata,Dark,Normal,7,0,0,0.3,3.8,30,56,35,25,35,72,253
20,1,201,Raticate,Normal,,1,0,0,0.7,18.5,55,81,60,50,70,97,413
20,2,202,Raticate,Dark,Normal,7,0,0,0.7,25.5,75,71,70,40,80,77,413
21,1,211,Spearow,Normal,Flying,1,0,0,0.3,2,40,60,30,31,31,70,262
22,1,221,Fearow,Normal,Flying,1,0,0,1.2,38,65,90,65,61,61,100,442
23,1,231,Ekans,Poison,,1,0,0,2.0,6.9,35,60,44,40,54,55,288
24,1,241,Arbok,Poison,,1,0,0,3.5,65,60,95,69,65,79,80,448
25,1,251,Pikachu,Electric,,1,0,0,0.4,6,35,55,40,50,50,90,320
26,1,261,Raichu,Electric,,1,0,0,0.8,30,60,90,55,90,80,110,485
26,2,262,Raichu,Electric,Psychic,7,0,0,0.7,21,60,85,50,95,85,110,485
27,1,271,Sandshrew,Ground,,1,0,0,0.6,12,50,75,85,20,30,40,300
27,2,272,Sandshrew,Ice,Steel,7,0,0,0.7,40,50,75,90,10,35,40,300
28,1,281,Sandslash,Ground,,1,0,0,1.0,29.5,75,100,110,45,55,65,450
28,2,282,Sandslash,Ice,Steel,7,0,0,1.2,55,75,100,120,25,65,65,450
29,1,291,NidoranÅä,Poison,,1,0,0,0.4,7,55,47,52,40,40,41,275
30,1,301,Nidorina,Poison,,1,0,0,0.8,20,70,62,67,55,55,56,365
31,1,311,Nidoqueen,Poison,Ground,1,0,0,1.3,60,90,92,87,75,85,76,505
32,1,321,NidoranÅâ,Poison,,1,0,0,0.5,9,46,57,40,40,40,50,273
33,1,331,Nidorino,Poison,,1,0,0,0.9,19.5,61,72,57,55,55,65,365
34,1,341,Nidoking,Poison,Ground,1,0,0,1.4,62,81,102,77,85,75,85,505
35,1,351,Clefairy,Fairy,,1,0,0,0.6,7.5,70,45,48,60,65,35,323
36,1,361,Clefable,Fairy,,1,0,0,1.3,40,95,70,73,95,90,60,483
37,1,371,Vulpix,Fire,,1,0,0,0.6,9.9,38,41,40,50,65,65,299
37,2,372,Vulpix,Ice,,7,0,0,0.6,9.9,38,41,40,50,65,65,299
38,1,381,Ninetales,Fire,,1,0,0,1.1,19.9,73,76,75,81,100,100,505
38,2,382,Ninetales,Ice,Fairy,7,0,0,1.1,19.9,73,67,75,81,100,109,505
39,1,391,Jigglypuff,Normal,Fairy,1,0,0,0.5,5.5,115,45,20,45,25,20,270
40,1,401,Wigglytuff,Normal,Fairy,1,0,0,1.0,12,140,70,45,85,50,45,435
41,1,411,Zubat,Poison,Flying,1,0,0,0.8,7.5,40,45,35,30,40,55,245
